OTUID	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_22649	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22650	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhabdus	Unclassified
OTU_22651	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Unclassified
OTU_22652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unclassified
OTU_22653	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Unclassified	Unclassified	Unclassified
OTU_22654	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Unclassified
OTU_22655	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unclassified	Unclassified
OTU_22656	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22657	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unclassified
OTU_22658	Bacteria	Chloroflexi	Anaerolineae	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22659	Bacteria	Armatimonadetes	Unclassified	Unclassified	Unclassified	Armatimonadetes gp5	Unclassified
OTU_22660	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	Unclassified
OTU_22661	Bacteria	Proteobacteria	Oligoflexia	Oligoflexales	Oligoflexaceae	Oligoflexus	Unclassified
OTU_22662	Bacteria	Acidobacteria	Acidobacteria Gp3	Unclassified	Unclassified	Gp3	Unclassified
OTU_22663	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22664	Archaea	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22665	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
OTU_22666	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22667	Bacteria	Acidobacteria	Acidobacteria Gp6	Unclassified	Unclassified	Gp6	Unclassified
OTU_22668	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Geminicoccaceae	Defluviicoccus	Unclassified
OTU_22669	Bacteria	candidate division WPS-1	Unclassified	Unclassified	Unclassified	WPS-1 genera incertae sedis	Unclassified
OTU_22670	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Unclassified
OTU_22671	Bacteria	Verrucomicrobia	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22672	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unclassified	Unclassified
OTU_22673	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22674	Bacteria	Acidobacteria	Acidobacteria Gp16	Unclassified	Unclassified	Gp16	Unclassified
OTU_22675	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Plesiocystis	Unclassified
OTU_22676	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22677	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22678	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22679	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Litorilinea	Unclassified
OTU_22680	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22681	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Unclassified	Unclassified	Unclassified
OTU_22682	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Kallotenuaceae	Kallotenue	Unclassified
OTU_22683	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Hydrogenispora	Unclassified
OTU_22684	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22685	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halolamina	Unclassified
OTU_22686	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	Unclassified
OTU_22687	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22688	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22689	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Ornatilinea	Unclassified
OTU_22690	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22691	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Unclassified
OTU_22692	Bacteria	Chloroflexi	Anaerolineae	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22693	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Thermoguttaceae	Thermogutta	Unclassified
OTU_22694	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Unclassified	Unclassified
OTU_22695	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium IV	Unclassified
OTU_22696	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22697	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Unclassified
OTU_22698	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22699	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unclassified
OTU_22700	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Unclassified	Unclassified	Unclassified
OTU_22701	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Unclassified	Unclassified
OTU_22702	Bacteria	Candidatus Saccharibacteria	Unclassified	Unclassified	Unclassified	Saccharibacteria genera incertae sedis	Unclassified
OTU_22703	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	Unclassified
OTU_22704	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus	Unclassified
OTU_22705	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22706	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Unclassified
OTU_22707	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Unclassified	Unclassified
OTU_22708	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified
OTU_22709	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22710	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Unclassified	Unclassified
OTU_22711	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22712	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
OTU_22713	Bacteria	Verrucomicrobia	Subdivision3	Unclassified	Unclassified	Subdivision3 genera incertae sedis	Unclassified
OTU_22715	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unclassified
OTU_22716	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Unclassified	Unclassified
OTU_22717	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae 1	Desulfosporosinus	Unclassified
OTU_22718	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Unclassified	Unclassified
OTU_22719	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unclassified	Unclassified	Unclassified
OTU_22720	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Unclassified	Unclassified
OTU_22721	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22722	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22723	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Unclassified	Unclassified
OTU_22724	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22725	Bacteria	Planctomycetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22726	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Unclassified	Unclassified	Unclassified
OTU_22727	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Unclassified	Unclassified
OTU_22728	Bacteria	Acidobacteria	Acidobacteria Gp16	Unclassified	Unclassified	Gp16	Unclassified
OTU_22729	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Unclassified
OTU_22730	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unclassified
OTU_22731	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Unclassified	Unclassified
OTU_22732	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22733	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22734	Bacteria	Candidatus Saccharibacteria	Unclassified	Unclassified	Unclassified	Saccharibacteria genera incertae sedis	Unclassified
OTU_22735	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Algiphilaceae	Algiphilus	Unclassified
OTU_22736	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola	Unclassified
OTU_22738	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Unclassified
OTU_22739	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22740	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Unclassified	Unclassified
OTU_22741	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22742	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22743	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Unclassified
OTU_22744	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22745	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified	Unclassified
OTU_22746	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Unclassified
OTU_22747	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unclassified	Unclassified
OTU_22748	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Unclassified	Unclassified
OTU_22749	Bacteria	Acidobacteria	Acidobacteria Gp21	Unclassified	Unclassified	Gp21	Unclassified
OTU_22750	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22752	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Unclassified	Unclassified
OTU_22753	Bacteria	candidate division WPS-1	Unclassified	Unclassified	Unclassified	WPS-1 genera incertae sedis	Unclassified
OTU_22754	Bacteria	candidate division WPS-1	Unclassified	Unclassified	Unclassified	WPS-1 genera incertae sedis	Unclassified
OTU_22755	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22756	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22757	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Fimbriiglobus	Unclassified
OTU_22758	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	Unclassified
OTU_22759	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Paenibacillus	Unclassified
OTU_22760	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Unclassified
OTU_22761	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22762	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Zavarzinella	Unclassified
OTU_22763	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Unclassified	Unclassified
OTU_22764	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22765	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Unclassified	Unclassified
OTU_22766	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22767	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Unclassified
OTU_22768	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_22769	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
